,Date,State Name,Vegetable Name,Wholesale Price,Retail Price,Shopping Mall Price,Units,Vegetable Image
23,2024-05-03,Maharashtra,Colocasia,30,35 - 38,36 - 50,1kg,resource/images/vegetables/colocasia-64.png
24,2024-05-03,Maharashtra,Coriander Leaves,5,6 - 6,6 - 8,1kg,resource/images/vegetables/corianderleaves-64.png
25,2024-05-03,Maharashtra,Corn,28,32 - 36,34 - 46,1kg,resource/images/vegetables/corn-64.png
26,2024-05-03,Maharashtra,Cucumber,27,31 - 34,32 - 45,1kg,resource/images/vegetables/cucumber-64.png
27,2024-05-03,Maharashtra,Curry Leaves,29,33 - 37,35 - 48,1kg,resource/images/vegetables/curryleaves-64.png
28,2024-05-03,Maharashtra,Dill Leaves,14,16 - 18,17 - 23,1kg,resource/images/vegetables/dillleaves-64.png
29,2024-05-03,Maharashtra,Drumsticks,40,46 - 51,48 - 66,1kg,resource/images/vegetables/drumsticks-64.png
30,2024-05-03,Maharashtra,Brinjal,22,25 - 28,26 - 36,1kg,resource/images/vegetables/brinjal-64.png
31,2024-05-03,Maharashtra,Brinjal (Big),25,29 - 32,30 - 41,1kg,resource/images/vegetables/brinjalbig-64.png
32,2024-05-03,Maharashtra,Elephant Yam,26,30 - 33,31 - 43,1kg,resource/images/vegetables/elephantyam-64.png
33,2024-05-03,Maharashtra,Fenugreek Leaves,10,12 - 13,12 - 17,1kg,resource/images/vegetables/fenugreekleaves-64.png
34,2024-05-03,Maharashtra,French Beans,55,63 - 70,66 - 91,1kg,resource/images/vegetables/frenchbeans-64.png
35,2024-05-03,Maharashtra,Garlic,159,183 - 202,191 - 262,1kg,resource/images/vegetables/garlic-64.png
36,2024-05-03,Maharashtra,Ginger,111,128 - 141,133 - 183,1kg,resource/images/vegetables/ginger-64.png
37,2024-05-03,Maharashtra,Onion Green,43,49 - 55,52 - 71,1kg,resource/images/vegetables/oniongreen-64.png
38,2024-05-03,Maharashtra,Green Peas,43,49 - 55,52 - 71,1kg,resource/images/vegetables/greenpeas-64.png
39,2024-05-03,Maharashtra,Ivy Gourd,23,26 - 29,28 - 38,1kg,resource/images/vegetables/ivygourd-64.png
40,2024-05-03,Maharashtra,Lemon (Lime),71,82 - 90,85 - 117,1kg,resource/images/vegetables/lemon-64.png
41,2024-05-03,Maharashtra,Mango Raw,26,30 - 33,31 - 43,1kg,resource/images/vegetables/mangoraw-64.png
42,2024-05-03,Maharashtra,Mint Leaves,4,5 - 5,5 - 7,1kg,resource/images/vegetables/mintleaves-64.png
43,2024-05-03,Maharashtra,Mushroom,87,100 - 110,104 - 144,1kg,resource/images/vegetables/mushroom-64.png
44,2024-05-03,Maharashtra,Mustard Leaves,13,15 - 17,16 - 21,1kg,resource/images/vegetables/mustardleaves-64.png
45,2024-05-03,Maharashtra,Ladies Finger,40,46 - 51,48 - 66,1kg,resource/images/vegetables/ladiesfinger-64.png
46,2024-05-03,Maharashtra,Pumpkin,17,20 - 22,20 - 28,1kg,resource/images/vegetables/pumpkin-64.png
47,2024-05-03,Maharashtra,Radish,27,31 - 34,32 - 45,1kg,resource/images/vegetables/radish-64.png
48,2024-05-03,Maharashtra,Ridge Gourd,32,37 - 41,38 - 53,1kg,resource/images/vegetables/ridgegourd-64.png
49,2024-05-03,Maharashtra,Shallot (Pearl Onion),29,33 - 37,35 - 48,1kg,resource/images/vegetables/shallot-64.png
50,2024-05-03,Maharashtra,Snake Gourd,22,25 - 28,26 - 36,1kg,resource/images/vegetables/snakegourd-64.png
51,2024-05-03,Maharashtra,Sorrel Leaves,13,15 - 17,16 - 21,1kg,resource/images/vegetables/sorrelleaves-64.png
52,2024-05-03,Maharashtra,Spinach,12,14 - 15,14 - 20,1kg,resource/images/vegetables/spinach-64.png
53,2024-05-03,Maharashtra,Sweet Potato,40,46 - 51,48 - 66,1kg,resource/images/vegetables/sweetpotato-64.png
0,2024-05-04,Maharashtra,Onion Big,26,30 - 33,31 - 43,1kg,resource/images/vegetables/onionbig-64.png
1,2024-05-04,Maharashtra,Onion Small,32,37 - 41,38 - 53,1kg,resource/images/vegetables/onionsmall-64.png
2,2024-05-04,Maharashtra,Tomato,25,29 - 32,30 - 41,1kg,resource/images/vegetables/tomato-64.png
3,2024-05-04,Maharashtra,Green Chilli,43,49 - 55,52 - 71,1kg,resource/images/vegetables/greenchili-64.png
4,2024-05-04,Maharashtra,Beetroot,38,44 - 48,46 - 63,1kg,resource/images/vegetables/beetroot-64.png
5,2024-05-04,Maharashtra,Potato,31,36 - 39,37 - 51,1kg,resource/images/vegetables/potato-64.png
6,2024-05-04,Maharashtra,Raw Banana (Plantain),8,9 - 10,10 - 13,1kg,resource/images/vegetables/plantain-64.png
7,2024-05-04,Maharashtra,Amaranth Leaves,14,16 - 18,17 - 23,1kg,resource/images/vegetables/amaranthleaves-64.png
8,2024-05-04,Maharashtra,Amla,65,75 - 83,78 - 107,1kg,resource/images/vegetables/amla-64.png
9,2024-05-04,Maharashtra,Ash gourd,23,26 - 29,28 - 38,1kg,resource/images/vegetables/ashgourd-64.png
10,2024-05-04,Maharashtra,Baby Corn,46,53 - 58,55 - 76,1kg,resource/images/vegetables/babycorn-64.png
11,2024-05-04,Maharashtra,Banana Flower,16,18 - 20,19 - 26,1kg,resource/images/vegetables/bananaflower-64.png
12,2024-05-04,Maharashtra,Capsicum,46,53 - 58,55 - 76,1kg,resource/images/vegetables/capsicum-64.png
13,2024-05-04,Maharashtra,Bitter Gourd,31,36 - 39,37 - 51,1kg,resource/images/vegetables/bittergourd-64.png
14,2024-05-04,Maharashtra,Bottle Gourd,26,30 - 33,31 - 43,1kg,resource/images/vegetables/bottlegourd-64.png
